summary,title,pubDate,addDate,n_companies,authorsByline,source,companies,entities,positive_sentiment,negative_sentiment,neutral_sentiment,open,close,ticker
"BlackRock has launched a thematic equity fund called the Global Metaverse & Virtual Interaction Select Index, which selects constituents from a wide range of stocks from developed and emerging markets. The fund will go towards companies that contribute in the development of virtual platforms, gaming, 3D software, digital assets, and virtual and augmented reality. Microsoft recently ended its project to encourage the use of the metaverse in industrial environments, but BlackRock still sees potential in the concept and is positioning itself accordingly. BlackRock predicts that bond ETF assets industry-wide will more than double to $5 trillion in 2030.",Apple is planning new VR lens tech,2022-03-03,2022-03-03,1,Michelle D. Madsen,[{'domain': 'metanews.com'}],"{'name': 'Apple Inc.', 'symbols': ['AAPL', 'APC.DE', 'APC.F']}","[{'data': 'Apple', 'type': 'ORG', 'mentions': 2}, {'data': 'BlackRock', 'type': 'ORG', 'mentions': 7}, {'data': 'ETF Strategy', 'type': 'ORG', 'mentions': 1}, {'data': 'Morningstar', 'type': 'ORG', 'mentions': 1}, {'data': 'Global Equity Research', 'type': 'ORG', 'mentions': 1}, {'data': 'Meta Platforms', 'type': 'ORG', 'mentions': 4}, {'data': 'Nvidia', 'type': 'ORG', 'mentions': 1}, {'data': 'Netease', 'type': 'ORG', 'mentions': 1}, {'data': 'Roblox', 'type': 'ORG', 'mentions': 1}, {'data': 'Facebook', 'type': 'ORG', 'mentions': 2}, {'data': 'KPMG', 'type': 'ORG', 'mentions': 1}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'iShares', 'type': 'ORG', 'mentions': 1}, {'data': 'New York', 'type': 'GPE', 'mentions': 1}, {'data': 'US', 'type': 'GPE', 'mentions': 4}, {'data': 'James Lord', 'type': 'PERSON', 'mentions': 1}, {'data': 'Neal Stephenson', 'type': 'PERSON', 'mentions': 1}, {'data': 'Mark Zuckerberg', 'type': 'PERSON', 'mentions': 1}, {'data': 'Laurence Fink', 'type': 'PERSON', 'mentions': 1}]",0.06747531,0.012582644,0.919942,8.446017907583283,7.027936926321466,AAPL
"The US has strengthened its cyber defences in the Ukraine conflict, as well as the lower tempo, intensity and sophistication of what Russian-government hackers are known to be capable of. The US had been helping Ukraine for months before the invasion to identify and prepare for possible cyber attacks. The UK is to clamp down on online scams and “unlicensed financial promotions” as it expands plans to restrict what people can post on the internet. China has cut Russian smartphone shipments and Chinese brands are set to be hit hard by sanctions. US media tycoon Barry Diller and music mogul David Geffen are under investigation for potential insider trading connected to the purchase of Activision Blizzard options. Amazon is accused of obstructing its investigation.",US strengthens Ukraine’s cyber defences,2022-03-09,2022-03-09,5,Chris Nuttall,[{'domain': 'ft.com'}],"{'name': 'Activision Publishing', 'symbols': []}","[{'data': 'US', 'type': 'GPE', 'mentions': 11}, {'data': 'Ukraine', 'type': 'GPE', 'mentions': 7}, {'data': 'Romania', 'type': 'GPE', 'mentions': 1}, {'data': 'China', 'type': 'GPE', 'mentions': 2}, {'data': 'Russian', 'type': 'NORP', 'mentions': 7}, {'data': 'American', 'type': 'NORP', 'mentions': 1}, {'data': 'Californian', 'type': 'NORP', 'mentions': 1}, {'data': 'Ukrainian', 'type': 'NORP', 'mentions': 1}, {'data': 'Chinese', 'type': 'NORP', 'mentions': 1}, {'data': 'the Ukrainian Railways’', 'type': 'ORG', 'mentions': 1}, {'data': 'Fortinet', 'type': 'ORG', 'mentions': 1}, {'data': 'Xiaomi', 'type': 'ORG', 'mentions': 1}, {'data': 'Oppo', 'type': 'ORG', 'mentions': 1}, {'data': 'Huawei', 'type': 'ORG', 'mentions': 1}, {'data': 'Lex', 'type': 'ORG', 'mentions': 1}, {'data': 'Nasdaq', 'type': 'ORG', 'mentions': 1}, {'data': 'Activision', 'type': 'ORG', 'mentions': 3}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'Department of Justice', 'type': 'ORG', 'mentions': 2}, {'data': 'Securities and Exchange Commission', 'type': 'ORG', 'mentions': 1}, {'data': 'SEC', 'type': 'ORG', 'mentions': 1}, {'data': 'Amazon', 'type': 'ORG', 'mentions': 2}, {'data': 'Congress', 'type': 'ORG', 'mentions': 1}, {'data': 'House Judiciary committee', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 1}, {'data': 'Gillian Tett', 'type': 'PERSON', 'mentions': 1}, {'data': 'Robin Wigglesworth', 'type': 'PERSON', 'mentions': 1}, {'data': 'Diller', 'type': 'PERSON', 'mentions': 3}, {'data': 'David Geffen', 'type': 'PERSON', 'mentions': 2}, {'data': 'Merrick Garland', 'type': 'PERSON', 'mentions': 1}, {'data': 'Patrick McGee', 'type': 'PERSON', 'mentions': 1}, {'data': 'Online Safety Bill', 'type': 'LAW', 'mentions': 1}, {'data': 'The Mac Studio', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'M1 Max', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'Ultra', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Studio Display —', 'type': 'PRODUCT', 'mentions': 1}]",0.018021135,0.93429047,0.047688473,6.862640062948326,5.007559283363937,AAPL
"The US has strengthened its cyber defences in the Ukraine conflict, as well as the lower tempo, intensity and sophistication of what Russian-government hackers are known to be capable of. The US had been helping Ukraine for months before the invasion to identify and prepare for possible cyber attacks. The UK is to clamp down on online scams and “unlicensed financial promotions” as it expands plans to restrict what people can post on the internet. China has cut Russian smartphone shipments and Chinese brands are set to be hit hard by sanctions. US media tycoon Barry Diller and music mogul David Geffen are under investigation for potential insider trading connected to the purchase of Activision Blizzard options. Amazon is accused of obstructing its investigation.",US strengthens Ukraine’s cyber defences,2022-03-09,2022-03-09,5,Chris Nuttall,[{'domain': 'ft.com'}],"{'name': 'Amazon Robotics', 'symbols': []}","[{'data': 'US', 'type': 'GPE', 'mentions': 11}, {'data': 'Ukraine', 'type': 'GPE', 'mentions': 7}, {'data': 'Romania', 'type': 'GPE', 'mentions': 1}, {'data': 'China', 'type': 'GPE', 'mentions': 2}, {'data': 'Russian', 'type': 'NORP', 'mentions': 7}, {'data': 'American', 'type': 'NORP', 'mentions': 1}, {'data': 'Californian', 'type': 'NORP', 'mentions': 1}, {'data': 'Ukrainian', 'type': 'NORP', 'mentions': 1}, {'data': 'Chinese', 'type': 'NORP', 'mentions': 1}, {'data': 'the Ukrainian Railways’', 'type': 'ORG', 'mentions': 1}, {'data': 'Fortinet', 'type': 'ORG', 'mentions': 1}, {'data': 'Xiaomi', 'type': 'ORG', 'mentions': 1}, {'data': 'Oppo', 'type': 'ORG', 'mentions': 1}, {'data': 'Huawei', 'type': 'ORG', 'mentions': 1}, {'data': 'Lex', 'type': 'ORG', 'mentions': 1}, {'data': 'Nasdaq', 'type': 'ORG', 'mentions': 1}, {'data': 'Activision', 'type': 'ORG', 'mentions': 3}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'Department of Justice', 'type': 'ORG', 'mentions': 2}, {'data': 'Securities and Exchange Commission', 'type': 'ORG', 'mentions': 1}, {'data': 'SEC', 'type': 'ORG', 'mentions': 1}, {'data': 'Amazon', 'type': 'ORG', 'mentions': 2}, {'data': 'Congress', 'type': 'ORG', 'mentions': 1}, {'data': 'House Judiciary committee', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 1}, {'data': 'Gillian Tett', 'type': 'PERSON', 'mentions': 1}, {'data': 'Robin Wigglesworth', 'type': 'PERSON', 'mentions': 1}, {'data': 'Diller', 'type': 'PERSON', 'mentions': 3}, {'data': 'David Geffen', 'type': 'PERSON', 'mentions': 2}, {'data': 'Merrick Garland', 'type': 'PERSON', 'mentions': 1}, {'data': 'Patrick McGee', 'type': 'PERSON', 'mentions': 1}, {'data': 'Online Safety Bill', 'type': 'LAW', 'mentions': 1}, {'data': 'The Mac Studio', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'M1 Max', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'Ultra', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Studio Display —', 'type': 'PRODUCT', 'mentions': 1}]",0.018021135,0.93429047,0.047688473,6.862640062948326,5.007559283363937,AAPL
"The US has strengthened its cyber defences in the Ukraine conflict, as well as the lower tempo, intensity and sophistication of what Russian-government hackers are known to be capable of. The US had been helping Ukraine for months before the invasion to identify and prepare for possible cyber attacks. The UK is to clamp down on online scams and “unlicensed financial promotions” as it expands plans to restrict what people can post on the internet. China has cut Russian smartphone shipments and Chinese brands are set to be hit hard by sanctions. US media tycoon Barry Diller and music mogul David Geffen are under investigation for potential insider trading connected to the purchase of Activision Blizzard options. Amazon is accused of obstructing its investigation.",US strengthens Ukraine’s cyber defences,2022-03-09,2022-03-09,5,Chris Nuttall,[{'domain': 'ft.com'}],"{'name': 'Apple Inc.', 'symbols': ['AAPL', 'APC.DE', 'APC.F']}","[{'data': 'US', 'type': 'GPE', 'mentions': 11}, {'data': 'Ukraine', 'type': 'GPE', 'mentions': 7}, {'data': 'Romania', 'type': 'GPE', 'mentions': 1}, {'data': 'China', 'type': 'GPE', 'mentions': 2}, {'data': 'Russian', 'type': 'NORP', 'mentions': 7}, {'data': 'American', 'type': 'NORP', 'mentions': 1}, {'data': 'Californian', 'type': 'NORP', 'mentions': 1}, {'data': 'Ukrainian', 'type': 'NORP', 'mentions': 1}, {'data': 'Chinese', 'type': 'NORP', 'mentions': 1}, {'data': 'the Ukrainian Railways’', 'type': 'ORG', 'mentions': 1}, {'data': 'Fortinet', 'type': 'ORG', 'mentions': 1}, {'data': 'Xiaomi', 'type': 'ORG', 'mentions': 1}, {'data': 'Oppo', 'type': 'ORG', 'mentions': 1}, {'data': 'Huawei', 'type': 'ORG', 'mentions': 1}, {'data': 'Lex', 'type': 'ORG', 'mentions': 1}, {'data': 'Nasdaq', 'type': 'ORG', 'mentions': 1}, {'data': 'Activision', 'type': 'ORG', 'mentions': 3}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'Department of Justice', 'type': 'ORG', 'mentions': 2}, {'data': 'Securities and Exchange Commission', 'type': 'ORG', 'mentions': 1}, {'data': 'SEC', 'type': 'ORG', 'mentions': 1}, {'data': 'Amazon', 'type': 'ORG', 'mentions': 2}, {'data': 'Congress', 'type': 'ORG', 'mentions': 1}, {'data': 'House Judiciary committee', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 1}, {'data': 'Gillian Tett', 'type': 'PERSON', 'mentions': 1}, {'data': 'Robin Wigglesworth', 'type': 'PERSON', 'mentions': 1}, {'data': 'Diller', 'type': 'PERSON', 'mentions': 3}, {'data': 'David Geffen', 'type': 'PERSON', 'mentions': 2}, {'data': 'Merrick Garland', 'type': 'PERSON', 'mentions': 1}, {'data': 'Patrick McGee', 'type': 'PERSON', 'mentions': 1}, {'data': 'Online Safety Bill', 'type': 'LAW', 'mentions': 1}, {'data': 'The Mac Studio', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'M1 Max', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'Ultra', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Studio Display —', 'type': 'PRODUCT', 'mentions': 1}]",0.018021135,0.93429047,0.047688473,6.862640062948326,5.007559283363937,AAPL
"The US has strengthened its cyber defences in the Ukraine conflict, as well as the lower tempo, intensity and sophistication of what Russian-government hackers are known to be capable of. The US had been helping Ukraine for months before the invasion to identify and prepare for possible cyber attacks. The UK is to clamp down on online scams and “unlicensed financial promotions” as it expands plans to restrict what people can post on the internet. China has cut Russian smartphone shipments and Chinese brands are set to be hit hard by sanctions. US media tycoon Barry Diller and music mogul David Geffen are under investigation for potential insider trading connected to the purchase of Activision Blizzard options. Amazon is accused of obstructing its investigation.",US strengthens Ukraine’s cyber defences,2022-03-09,2022-03-09,5,Chris Nuttall,[{'domain': 'ft.com'}],"{'name': 'Activision Blizzard Inc', 'symbols': ['AIY.DE']}","[{'data': 'US', 'type': 'GPE', 'mentions': 11}, {'data': 'Ukraine', 'type': 'GPE', 'mentions': 7}, {'data': 'Romania', 'type': 'GPE', 'mentions': 1}, {'data': 'China', 'type': 'GPE', 'mentions': 2}, {'data': 'Russian', 'type': 'NORP', 'mentions': 7}, {'data': 'American', 'type': 'NORP', 'mentions': 1}, {'data': 'Californian', 'type': 'NORP', 'mentions': 1}, {'data': 'Ukrainian', 'type': 'NORP', 'mentions': 1}, {'data': 'Chinese', 'type': 'NORP', 'mentions': 1}, {'data': 'the Ukrainian Railways’', 'type': 'ORG', 'mentions': 1}, {'data': 'Fortinet', 'type': 'ORG', 'mentions': 1}, {'data': 'Xiaomi', 'type': 'ORG', 'mentions': 1}, {'data': 'Oppo', 'type': 'ORG', 'mentions': 1}, {'data': 'Huawei', 'type': 'ORG', 'mentions': 1}, {'data': 'Lex', 'type': 'ORG', 'mentions': 1}, {'data': 'Nasdaq', 'type': 'ORG', 'mentions': 1}, {'data': 'Activision', 'type': 'ORG', 'mentions': 3}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'Department of Justice', 'type': 'ORG', 'mentions': 2}, {'data': 'Securities and Exchange Commission', 'type': 'ORG', 'mentions': 1}, {'data': 'SEC', 'type': 'ORG', 'mentions': 1}, {'data': 'Amazon', 'type': 'ORG', 'mentions': 2}, {'data': 'Congress', 'type': 'ORG', 'mentions': 1}, {'data': 'House Judiciary committee', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 1}, {'data': 'Gillian Tett', 'type': 'PERSON', 'mentions': 1}, {'data': 'Robin Wigglesworth', 'type': 'PERSON', 'mentions': 1}, {'data': 'Diller', 'type': 'PERSON', 'mentions': 3}, {'data': 'David Geffen', 'type': 'PERSON', 'mentions': 2}, {'data': 'Merrick Garland', 'type': 'PERSON', 'mentions': 1}, {'data': 'Patrick McGee', 'type': 'PERSON', 'mentions': 1}, {'data': 'Online Safety Bill', 'type': 'LAW', 'mentions': 1}, {'data': 'The Mac Studio', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'M1 Max', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'Ultra', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Studio Display —', 'type': 'PRODUCT', 'mentions': 1}]",0.018021135,0.93429047,0.047688473,6.862640062948326,5.007559283363937,AAPL
"The US has strengthened its cyber defences in the Ukraine conflict, as well as the lower tempo, intensity and sophistication of what Russian-government hackers are known to be capable of. The US had been helping Ukraine for months before the invasion to identify and prepare for possible cyber attacks. The UK is to clamp down on online scams and “unlicensed financial promotions” as it expands plans to restrict what people can post on the internet. China has cut Russian smartphone shipments and Chinese brands are set to be hit hard by sanctions. US media tycoon Barry Diller and music mogul David Geffen are under investigation for potential insider trading connected to the purchase of Activision Blizzard options. Amazon is accused of obstructing its investigation.",US strengthens Ukraine’s cyber defences,2022-03-09,2022-03-09,5,Chris Nuttall,[{'domain': 'ft.com'}],"{'name': 'Microsoft Corporation', 'symbols': ['4338.HK', 'MSF.BR', 'MSF.DE', 'MSFT']}","[{'data': 'US', 'type': 'GPE', 'mentions': 11}, {'data': 'Ukraine', 'type': 'GPE', 'mentions': 7}, {'data': 'Romania', 'type': 'GPE', 'mentions': 1}, {'data': 'China', 'type': 'GPE', 'mentions': 2}, {'data': 'Russian', 'type': 'NORP', 'mentions': 7}, {'data': 'American', 'type': 'NORP', 'mentions': 1}, {'data': 'Californian', 'type': 'NORP', 'mentions': 1}, {'data': 'Ukrainian', 'type': 'NORP', 'mentions': 1}, {'data': 'Chinese', 'type': 'NORP', 'mentions': 1}, {'data': 'the Ukrainian Railways’', 'type': 'ORG', 'mentions': 1}, {'data': 'Fortinet', 'type': 'ORG', 'mentions': 1}, {'data': 'Xiaomi', 'type': 'ORG', 'mentions': 1}, {'data': 'Oppo', 'type': 'ORG', 'mentions': 1}, {'data': 'Huawei', 'type': 'ORG', 'mentions': 1}, {'data': 'Lex', 'type': 'ORG', 'mentions': 1}, {'data': 'Nasdaq', 'type': 'ORG', 'mentions': 1}, {'data': 'Activision', 'type': 'ORG', 'mentions': 3}, {'data': 'Microsoft', 'type': 'ORG', 'mentions': 2}, {'data': 'Department of Justice', 'type': 'ORG', 'mentions': 2}, {'data': 'Securities and Exchange Commission', 'type': 'ORG', 'mentions': 1}, {'data': 'SEC', 'type': 'ORG', 'mentions': 1}, {'data': 'Amazon', 'type': 'ORG', 'mentions': 2}, {'data': 'Congress', 'type': 'ORG', 'mentions': 1}, {'data': 'House Judiciary committee', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 1}, {'data': 'Gillian Tett', 'type': 'PERSON', 'mentions': 1}, {'data': 'Robin Wigglesworth', 'type': 'PERSON', 'mentions': 1}, {'data': 'Diller', 'type': 'PERSON', 'mentions': 3}, {'data': 'David Geffen', 'type': 'PERSON', 'mentions': 2}, {'data': 'Merrick Garland', 'type': 'PERSON', 'mentions': 1}, {'data': 'Patrick McGee', 'type': 'PERSON', 'mentions': 1}, {'data': 'Online Safety Bill', 'type': 'LAW', 'mentions': 1}, {'data': 'The Mac Studio', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'M1 Max', 'type': 'PRODUCT', 'mentions': 2}, {'data': 'Ultra', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Studio Display —', 'type': 'PRODUCT', 'mentions': 1}]",0.018021135,0.93429047,0.047688473,6.862640062948326,5.007559283363937,AAPL
"Sequoia Capital's John Sutter argues that Institutional Shareholder Services, the largest of the firms offering advice to fund managers and investors about how to vote on issues at annual shareholder meetings, should not be judge and jury. He argues that ISS's influence has grown for several reasons, including the size and structure of Apple CEO Tim Cook's $99mn pay and bonuses package for 2021, and its influence was shown in the vote against the board’s pay recommendation. ISS also operates a ballot vote counting service and provides research for class action stockholder lawsuits. Companies should recruit directors willing to ignore browbeating and who structure pay packages for executives that reward them handsomely for spectacular performance, and investors and fund managers should discard their crutches and stand tall.",Tim Cook pay vote shows ISS should not be judge and jury,2022-03-09,2022-03-09,2,Michael Moritz,[{'domain': 'ft.com'}],"{'name': 'Apple Inc.', 'symbols': ['AAPL', 'APC.DE', 'APC.F']}","[{'data': 'Tim Cook', 'type': 'PERSON', 'mentions': 3}, {'data': 'ISS', 'type': 'ORG', 'mentions': 12}, {'data': 'Sequoia Capital', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 4}, {'data': 'Institutional Shareholder Services', 'type': 'ORG', 'mentions': 1}, {'data': 'Cook', 'type': 'ORG', 'mentions': 2}, {'data': 'Glass Lewis', 'type': 'ORG', 'mentions': 1}, {'data': 'Moody’s', 'type': 'ORG', 'mentions': 2}, {'data': 'Fitch', 'type': 'ORG', 'mentions': 1}, {'data': 'America', 'type': 'GPE', 'mentions': 1}]",0.042381383,0.07848599,0.8791326,6.862640062948326,5.007559283363937,AAPL
"Sequoia Capital's John Sutter argues that Institutional Shareholder Services, the largest of the firms offering advice to fund managers and investors about how to vote on issues at annual shareholder meetings, should not be judge and jury. He argues that ISS's influence has grown for several reasons, including the size and structure of Apple CEO Tim Cook's $99mn pay and bonuses package for 2021, and its influence was shown in the vote against the board’s pay recommendation. ISS also operates a ballot vote counting service and provides research for class action stockholder lawsuits. Companies should recruit directors willing to ignore browbeating and who structure pay packages for executives that reward them handsomely for spectacular performance, and investors and fund managers should discard their crutches and stand tall.",Tim Cook pay vote shows ISS should not be judge and jury,2022-03-09,2022-03-09,2,Michael Moritz,[{'domain': 'ft.com'}],"{'name': 'ISS A/S', 'symbols': ['ISS.CO', 'ISSDY']}","[{'data': 'Tim Cook', 'type': 'PERSON', 'mentions': 3}, {'data': 'ISS', 'type': 'ORG', 'mentions': 12}, {'data': 'Sequoia Capital', 'type': 'ORG', 'mentions': 1}, {'data': 'Apple', 'type': 'ORG', 'mentions': 4}, {'data': 'Institutional Shareholder Services', 'type': 'ORG', 'mentions': 1}, {'data': 'Cook', 'type': 'ORG', 'mentions': 2}, {'data': 'Glass Lewis', 'type': 'ORG', 'mentions': 1}, {'data': 'Moody’s', 'type': 'ORG', 'mentions': 2}, {'data': 'Fitch', 'type': 'ORG', 'mentions': 1}, {'data': 'America', 'type': 'GPE', 'mentions': 1}]",0.042381383,0.07848599,0.8791326,6.862640062948326,5.007559283363937,AAPL
"Apple has become a major player in the tech industry due to the technical performance of its in-house chips. These include Google’s AI processors, Amazon Web Services’ Graviton data centre chips, and Google's TPUs. Apple has been able to integrate chip design into its wider technology development plans, which could give them an edge in self-driving cars and augmented reality products. Google recently gave a glimpse into the many advantages that come from chip design, spelling out 10 lessons it has learnt from building its TPU's since 2015.",Big Tech raises its bets on chips,2022-03-10,2022-03-10,4,Richard Waters,[{'domain': 'ft.com'}],"{'name': 'Alphabet Inc.', 'symbols': ['ABEA.DE', 'ABEC.DE', 'GOOG', 'GOOGL', 'GOOGL.SW']}","[{'data': 'Steve Jobs', 'type': 'PERSON', 'mentions': 2}, {'data': 'Apple', 'type': 'ORG', 'mentions': 8}, {'data': 'Intel', 'type': 'ORG', 'mentions': 2}, {'data': 'Google', 'type': 'ORG', 'mentions': 4}, {'data': 'Amazon Web Services’', 'type': 'ORG', 'mentions': 1}, {'data': 'Tesla', 'type': 'ORG', 'mentions': 1}, {'data': 'TSMC', 'type': 'ORG', 'mentions': 1}, {'data': 'AWS', 'type': 'ORG', 'mentions': 2}, {'data': 'Annapurna', 'type': 'ORG', 'mentions': 1}, {'data': 'Nvidia', 'type': 'ORG', 'mentions': 3}, {'data': 'iPad', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Mac', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'M1', 'type': 'PRODUCT', 'mentions': 4}, {'data': 'Graviton', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Arm', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'X86', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Trainium', 'type': 'PRODUCT', 'mentions': 1}]",0.17895535,0.015096758,0.8059479,6.862640062948326,5.007559283363937,AAPL
"Apple has become a major player in the tech industry due to the technical performance of its in-house chips. These include Google’s AI processors, Amazon Web Services’ Graviton data centre chips, and Google's TPUs. Apple has been able to integrate chip design into its wider technology development plans, which could give them an edge in self-driving cars and augmented reality products. Google recently gave a glimpse into the many advantages that come from chip design, spelling out 10 lessons it has learnt from building its TPU's since 2015.",Big Tech raises its bets on chips,2022-03-10,2022-03-10,4,Richard Waters,[{'domain': 'ft.com'}],"{'name': 'NVIDIA Corporation', 'symbols': ['NVD.DE', 'NVDA']}","[{'data': 'Steve Jobs', 'type': 'PERSON', 'mentions': 2}, {'data': 'Apple', 'type': 'ORG', 'mentions': 8}, {'data': 'Intel', 'type': 'ORG', 'mentions': 2}, {'data': 'Google', 'type': 'ORG', 'mentions': 4}, {'data': 'Amazon Web Services’', 'type': 'ORG', 'mentions': 1}, {'data': 'Tesla', 'type': 'ORG', 'mentions': 1}, {'data': 'TSMC', 'type': 'ORG', 'mentions': 1}, {'data': 'AWS', 'type': 'ORG', 'mentions': 2}, {'data': 'Annapurna', 'type': 'ORG', 'mentions': 1}, {'data': 'Nvidia', 'type': 'ORG', 'mentions': 3}, {'data': 'iPad', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Mac', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'M1', 'type': 'PRODUCT', 'mentions': 4}, {'data': 'Graviton', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Arm', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'X86', 'type': 'PRODUCT', 'mentions': 1}, {'data': 'Trainium', 'type': 'PRODUCT', 'mentions': 1}]",0.17895535,0.015096758,0.8059479,6.862640062948326,5.007559283363937,AAPL
